km,price
60953,14652
70099,14300
269862,8847
16381,12670
201723,6368
115075,12213
86418,5922
165234,4287
64598,14591
79164,14901
334436,937
271251,10686
266049,5376
307745,1872
44785,6272
344996,3599
20385,10124
292320,1018
170583,9572
161838,13810
180216,8790
161278,6291
344797,5163
248549,11803
290245,10428
264171,4152
244440,4349
219524,6307
260857,2014
115136,8634
242179,4100
134143,14733
169860,3948
286584,10176
24943,2328
33067,7860
252872,8083
168393,6486
86363,12249
265023,7241
129466,7984
98003,7519
119859,12832
186941,12521
77575,14968
226187,5142
313379,11990
70593,6635
327224,13348
108125,566
152679,11973
223922,4530
145603,14371
71280,13723
24678,7819
294459,11029
318640,13470
244227,6936
313850,5490
312635,8395
225826,4550
324272,4421
67249,3050
138578,7964
348544,6305
164100,12999
178791,8862
69765,12486
109457,13318
205274,3099
24653,8051
341453,11488
11454,13355
218449,5741
3184,6216
322747,12684
125297,1582
226802,5479
215286,1347
92339,6986
23485,10805
14544,8354
125507,11342
267110,8399
202670,10719
206711,2730
233837,14804
133046,8297
56392,11772
56748,6755
98529,2747
117214,1999
176614,6941
294332,14559
193358,4556
178248,2252
138264,7878
145894,3243
236924,13547
95174,2494
47927,1392
104628,7396
1905,10905
345353,1869
123967,14688
134507,2371
130712,825
191577,2246
240397,12486
47788,11967
316546,14489
143319,12823
171682,1202
265830,8200
118515,8834
224317,5390
323204,8509
71689,8392
281882,2784
169241,937
253750,3046
306794,8448
317835,11028
310720,10475
298322,9990
287584,597
79569,690
275780,12997
284985,4116
241218,14358
11682,520
308925,14947
239112,11807
205917,12443
46595,1459
265195,10880
222258,8823
333805,6203
248124,14564
211393,12480
57029,5007
324737,11890
327085,9401
158429,5829
134827,13335
297834,14516
297766,3949
10906,10656
15884,1227
148129,10554
289875,14544
210645,6585
18697,11969
333940,12423
211697,13309
292635,5151
288219,9676
194119,14807
152661,4070
131409,11314
149082,4277
254231,3148
262286,9796
298306,9148
59779,3179
134062,4060
205990,11898
220962,14250
74561,9269
322326,6224
117855,4644
121567,6858
4941,9605
172862,6793
336281,1484
18541,12011
328584,6289
338542,5605
195037,7727
121495,1609
152826,2913
244183,14374
293591,5873
202059,7181
291626,2628
249115,13953
133004,9106
128075,6772
294873,4809
222144,14940
24085,7727
169434,708
21702,3943
253478,10764
43402,7301
117237,6838
78815,8803
288372,12682
68674,10641
96067,10107
291456,4674
47456,14128
87482,13260
272074,1787
61891,1452
197334,3475
219896,9329
230066,11514
198045,13457
295104,3445
35936,11387
99664,10932
318638,13063
94957,6943
36895,11651
49945,14867
317142,14111
318885,4353
305746,6206
95851,3731
76892,12014
12951,10164
94718,14637
33153,7632
197923,12239
128853,6654
276122,9180
98015,10023
164776,5966
14832,3667
101059,7476
13440,14540
222341,6595
219263,2896
216781,14186
116206,9118
30856,709
172957,770
183286,2829
222282,11297
252415,8972
40984,810
78326,14787
228661,8823
56108,1652
120495,3275
284161,7718
349880,2543
346209,6169
101176,5324
124885,11825
49638,6592
88412,6516
325003,1509
115575,7212
267097,2717
169170,10649
336423,12886
252824,1962
285154,8532
248748,2409
40987,10520
260596,6225
14266,4109
142155,774
245732,14320
301549,9500
336706,3866
140315,12558
10771,8061
244499,5721
103328,1074
72756,5309
282483,3761
11634,8618
263889,12088
276026,1430
203732,2342
261535,4705
294899,12124
45305,9070
331176,10800
306281,7124
254655,7171
241326,2134
167918,2181
332129,7193
269352,2101
245836,9795
277002,960
216570,2660
328785,6014
101790,2873
283155,922
186229,13802
165562,9948
146325,1218
14246,9409
188076,9253
297169,3304
217923,7795
120363,11319
237722,8266
125328,12538
43820,7179
127198,7207
231849,6879
218460,13139
218214,9413
321810,11184
71169,5631
161768,5924
131287,3416
293706,5938
65455,13562
174431,1780
335319,3684
323573,12431
26293,5613
147967,8440
240830,9408
275495,2987
71495,10377
122402,1251
78632,3049
53014,13475
335020,3008
320613,3078
301803,1737
301329,3700
56040,13745
17457,13973
41974,11606
8960,6756
299424,14116
72561,6642
104597,12062
209021,11727
119814,3640
127756,12985
158030,5305
330419,11061
61474,9024
188995,11347
261137,7698
196310,6724
181085,12955
170473,7437
156648,10589
56686,974
100639,11893
12733,5713
8471,2949
36233,6892
60950,869
326445,8010
97527,1053
170141,10028
138666,2863
127680,1691
176123,13326
319516,13513
198116,4280
297024,6536
212758,3574
199700,9626
34303,1146
236787,12944
7350,6664
235696,1709
57763,9232
210358,6132
297427,13289
149876,1954
191037,7071
244726,5566
42798,13505
39691,6601
331279,8432
41656,7913
70633,7388
94775,10414
249239,10399
35641,2904
72042,5101
164813,11853
9065,13087
231771,684
256132,3990
276379,9907
3198,7930
222821,12758
278647,3745
141743,11000
11166,7613
344602,13216
270958,955
272070,12359
114613,905
2892,13862
173287,13740
302053,11189
57191,9959
164202,14712
230486,9122
305188,12515
92217,14980
251726,9981
98811,7895
300090,9334
324573,10644
343161,1907
263461,12016
292021,1835
83305,3177
37853,8666
281098,12611
177909,4094
130069,5730
265459,12924
87421,14111
81920,9817
57678,11008
147988,10887
246071,13303
99895,5651
11004,11099
5927,5400
310899,8035
249683,4932
5071,10934
273460,12270
265194,1409
174353,5240
158918,14991
71287,1502
281722,4417
247618,6191
330456,13870
301416,4575
195541,10544
205763,13855
311923,7529
77524,4041
149003,14957
244164,11823
136851,8202
99552,9228
331008,3897
94607,6468
122619,6746
34061,4027
97963,13564
22473,9466
179575,7507
8288,14787
227534,1415
54483,13652
6705,2429
197690,13565
173428,7164
236915,10383
176081,14338
135400,8778
305704,9129
120230,3354
188726,8451
48212,8388
11476,1458
155486,4311
242250,5002
28833,11890
214545,6609
151077,12458
337344,10225
94669,10254
104510,3262
252708,8313
327620,14940
100905,10107
265989,13941
143109,7948
179901,2403
302291,11302
164804,4778
235211,2089
180182,14702
189328,4050
326812,7783
301139,8735
21189,6604
125627,7370
24808,752
337199,4500
15906,8742
212197,12793
72724,9505
323679,1562
107329,8061
97570,8873
335911,5141
347872,3091
180683,3876
3555,2157
3599,14638
46523,1637
301092,11661
183051,11527
12097,10968
214879,12330
235773,6142
